#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3CBB6
#Date Time: 2026-08-17 17:53:04.410
#Sample rate: 16000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5.9782 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 2 div Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.2559705284552846,7.645593004485278,7.59421275736563
-0.2559080284552845,4.81743200084361,4.768822751560228
-0.2558455284552846,6.679519754218019,6.630168923362651
-0.2557830284552846,5.779817948627244,5.732866585561514
-0.2557205284552845,5.713446503952922,5.66241722846183
-0.2556580284552846,6.74957850137559,6.700618280463653
-0.2555955284552845,4.747373253686039,4.698373394459226
-0.2555330284552846,7.664029516893615,7.631291366364376
-0.2554705284552846,4.334395375709557,4.290508695458325
-0.2554080284552845,7.162556379351225,7.112190840363716
-0.2553455284552846,5.300468625976817,5.247136807661287
-0.2552830284552846,6.200170431567591,6.14814700636243
-0.2552205284552845,6.266541876241913,6.211180641662104
-0.2551580284552846,5.234097181301178,5.184103172360301
-0.2550955284552845,7.236302428990729,7.186348058364727
-0.2550330284552846,4.290147745927703,4.249722225559569
-0.2549705284552846,7.645593004485278,7.597920618265638
-0.2549080284552845,4.821119303325545,4.772530612460236
-0.2548455284552846,6.686894359181882,6.633876784262658
-0.2547830284552846,5.787192553591109,5.736574446461521
-0.2547205284552845,5.724508411398719,5.666125089361836
-0.2546580284552846,6.753265803857523,6.700618280463653
-0.2545955284552845,4.754747858649904,4.702081255359234
-0.2545330284552846,7.675091424339413,7.627583505464372
-0.2544705284552846,4.33808267819149,4.286800834558315
-0.2544080284552845,7.169930984315089,7.115898701263721
-0.2543455284552846,5.304155928458751,5.247136807661289
-0.2542830284552846,6.203857734049524,6.151854867262442
-0.2542205284552845,6.270229178723845,6.214888502562108
-0.2541580284552846,5.234097181301178,5.180395311460291
-0.2540955284552845,7.239989731472662,7.182640197464719
-0.2540330284552846,4.290147745927705,4.249722225559568
-0.2539705284552846,7.649280306967211,7.590504896465623
-0.2539080284552845,4.821119303325546,4.765114890660223
-0.2538455284552846,6.690581661663813,6.630168923362649
-0.2537830284552846,5.787192553591109,5.729158724661506
-0.2537205284552845,5.724508411398719,5.666125089361833
-0.2536580284552846,6.753265803857523,6.693202558663637
-0.2535955284552845,4.754747858649904,4.698373394459226
-0.2535330284552846,7.675091424339413,7.62758350546437
-0.2534705284552846,4.341769980673423,4.283092973658308
-0.2534080284552845,7.169930984315089,7.112190840363714
-0.2533455284552846,5.304155928458751,5.243428946761282
-0.2532830284552846,6.203857734049524,6.144439145462423
-0.2532205284552845,6.270229178723846,6.207472780762096
-0.2531580284552846,5.237784483783111,5.180395311460291
-0.2530955284552845,7.236302428990729,7.175224475664704
-0.2530330284552846,4.293835048409633,4.246014364659558
-0.2529705284552846,7.652967609449144,7.590504896465623
-0.2529080284552845,4.824806605807479,4.761407029760217
-0.2528455284552846,6.694268964145746,6.633876784262653
-0.2527830284552846,5.783505251109176,5.725450863761496
-0.2527205284552845,5.724508411398721,5.662417228461825
-0.2526580284552846,6.756953106339455,6.68949469776363
-0.2525955284552845,4.754747858649904,4.690957672659209
-0.2525330284552846,7.678778726821344,7.620167783664355
-0.2524705284552846,4.341769980673423,4.2793851127583
-0.2524080284552845,7.169930984315089,7.108482979463706
-0.2523455284552846,5.304155928458751,5.239721085861272
-0.2522830284552846,6.207545036531457,6.144439145462423
-0.2522205284552845,6.270229178723848,6.203764919862088
-0.2521580284552846,5.241471786265044,5.176687450560284
-0.2520955284552845,7.236302428990729,7.171516614764696
-0.2520330284552846,4.297522350891564,4.238598642859543
-0.2519705284552846,7.656654911931076,7.586797035565612
-0.2519080284552845,4.824806605807479,4.753991307960201
-0.2518455284552846,6.694268964145746,6.626461062462638
-0.2517830284552846,5.790879856073042,5.718035141961481
-0.2517205284552845,5.724508411398721,5.658709367561817
-0.2516580284552846,6.756953106339455,6.685786836863622
-0.2515955284552845,4.754747858649904,4.690957672659209
-0.2515330284552846,7.678778726821344,7.616459922764349
-0.2514705284552846,4.345457283155356,4.271969390958283
-0.2514080284552845,7.17361828679702,7.101067257663691
-0.2513455284552846,5.304155928458752,5.232305364061257
-0.2512830284552846,6.207545036531457,6.140731284562415
-0.2512205284552845,6.270229178723848,6.196349198062071
-0.2511580284552846,5.241471786265044,5.172979589660276
-0.2510955284552845,7.236302428990729,7.164100892964678
-0.2510330284552846,4.297522350891564,4.231182921059526
-0.2509705284552846,7.656654911931076,7.583089174665604
-0.2509080284552845,4.821119303325546,4.746575586160186
-0.2508455284552846,6.690581661663813,6.622753201562629
-0.2507830284552846,5.787192553591109,5.714327281061472
-0.2507205284552845,5.724508411398719,5.655001506661808
-0.2506580284552846,6.753265803857523,6.682078975963611
-0.2505955284552845,4.758435161131837,4.687249811759202
-0.2505330284552846,7.675091424339413,7.609044200964332
-0.2504705284552846,4.341769980673423,4.268261530058275
-0.2504080284552845,7.173618286797022,7.101067257663689
-0.2503455284552846,5.307843230939835,5.228597503160399
-0.2502830284552846,6.214919641495323,6.140731284562415
-0.2502205284552845,6.273916481205781,6.192641337162065
-0.2501580284552846,5.245159088746977,5.172979589660276
-0.2500955284552845,7.236302428990729,7.16039303206467
-0.2500330284552846,4.297522350891564,4.234890781959532
-0.2499705284552846,7.652967609449144,7.583089174665604
-0.2499080284552846,4.821119303324696,4.75399130795935
-0.2498455284552846,6.68689435918273,6.622753201563482
-0.2497830284552846,5.783505251109176,5.718035141961481
-0.2497205284552846,5.720821108916318,5.65870936756135
-0.2496580284552846,6.745891198893657,6.685786836863622
-0.2495955284552846,4.754747858649904,4.694665533559217
-0.2495330284552846,7.664029516894942,7.620167783665687
-0.2494705284552846,4.330708073227624,4.2793851127583
-0.2494080284552846,7.166243681834004,7.112190840364564
-0.2493455284552846,5.293094021012104,5.243428946760432
-0.2492830284552845,6.200170431567591,6.151854867262442
-0.2492205284552846,6.255479968796585,6.211180641662571
-0.2491580284552846,5.230409878819245,5.187811033260308
-0.2490955284552846,7.221553219062997,7.186348058364727
-0.2490330284552845,4.282773140962497,4.260845808258258
-0.2489705284552846,7.641905702003345,7.601628479165646
-0.2489080284552846,4.810057395878897,4.776238473359397
-0.2488455284552846,6.683207056700797,6.641292506063524
-0.2487830284552845,5.772443343663378,5.747698029161546
-0.2487205284552846,5.720821108916318,5.684664393861407
-0.2486580284552846,6.73851659392979,6.715449724063687
-0.2485955284552846,4.751060556167972,4.720620559859276
-0.2485330284552845,7.660342214413009,7.660954253565778
-0.2484705284552846,4.323333468263758,4.309047999958365
-0.2484080284552846,7.162556379352071,7.141853727564628
-0.2483455284552846,5.285719416048238,5.273091833960496
