#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3CBB6
#Date Time: 2026-08-17 17:35:54.093
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.191545741324921e-05,12.05929407535893,12.07334837362878
-8.189545741324921e-05,12.06298137784086,12.07705623452879
-8.18754574132492e-05,12.06666868032279,12.0807640954288
-8.185545741324921e-05,12.06298137784086,12.08817981722881
-8.183545741324921e-05,12.05929407535893,12.0807640954288
-8.181545741324921e-05,12.05560677287699,12.0807640954288
-8.17954574132492e-05,12.04823216791313,12.07334837362878
-8.177545741324921e-05,12.06298137784085,12.07334837362878
-8.175545741324921e-05,12.06298137784086,12.07705623452879
-8.173545741324921e-05,12.05191947039506,12.06964051272877
-8.17154574132492e-05,12.07404328528666,12.07705623452879
-8.16954574132492e-05,12.05929407535893,12.07705623452879
-8.167545741324921e-05,12.06298137784086,12.07705623452879
-8.165545741324921e-05,12.05929407535893,12.0807640954288
-8.16354574132492e-05,12.05929407535893,12.06964051272877
-8.16154574132492e-05,12.0445448654312,12.06964051272878
-8.159545741324921e-05,12.06298137784085,12.07705623452879
-8.157545741324921e-05,12.05560677287699,12.0807640954288
-8.155545741324921e-05,12.04823216791313,12.0807640954288
-8.15354574132492e-05,12.05929407535892,12.06964051272878
-8.151545741324921e-05,12.05191947039506,12.0844719563288
-8.149545741324921e-05,12.05560677287699,12.07705623452879
-8.147545741324921e-05,12.05191947039506,12.0807640954288
-8.14554574132492e-05,12.0445448654312,12.06593265182877
-8.143545741324921e-05,12.07404328528664,12.09559553902882
-8.141545741324921e-05,12.05191947039506,12.07705623452879
-8.139545741324921e-05,12.05929407535893,12.07334837362878
-8.13754574132492e-05,12.0445448654312,12.05480906912874
-8.13554574132492e-05,12.06666868032279,12.07334837362878
-8.133545741324921e-05,12.05560677287699,12.06222479092876
-8.131545741324921e-05,12.02610835302153,12.0362697646287
-8.12954574132492e-05,12.0445448654312,12.06222479092876
-8.12754574132492e-05,11.95973690834681,12.51829168162989
-8.125545741324921e-05,12.12197821755171,12.78896552733024
-8.123545741324921e-05,11.95973690834674,12.64065109133004
-8.121545741324921e-05,12.11460361258792,12.80008911003039
-8.11954574132492e-05,11.98186072323837,12.67031397853015
-8.117545741324921e-05,12.06298137784082,12.77042622283028
-8.115545741324921e-05,12.01873374805766,12.70368472663018
-8.113545741324921e-05,12.05929407535893,12.7593026401303
-8.11154574132492e-05,11.99660993316607,12.6666061176301
-8.109545741324921e-05,12.14778933492525,10.78301278042679
-8.107545741324921e-05,11.89336546367195,7.850094808519445
-8.105545741324921e-05,12.09985440266019,5.692119764714673
-8.10354574132492e-05,11.89705276615388,3.786279262110458
-8.10154574132492e-05,12.07404328528661,2.736954627407679
-8.099545741324921e-05,11.97079881579254,1.728416462605908
-8.097545741324921e-05,12.01504644557573,1.157405884004645
-8.09554574132492e-05,12.00767184061187,0.6605525234035462
-8.09354574132492e-05,11.9855480257203,0.2638114071026419
-8.091545741324921e-05,12.05191947039506,0.2044856327025377
-8.089545741324921e-05,11.98186072323834,0.1340362756023819
-8.087545741324921e-05,12.02979565550346,0.1488677192024147
-8.08554574132492e-05,11.9744861182745,0.09324980570231191
-8.083545741324921e-05,12.04085756294923,0.1377441365023698
-8.081545741324921e-05,11.98186072323834,0.1080812493023245
-8.079545741324921e-05,12.01873374805766,0.1266205538023655
-8.07754574132492e-05,11.99292263068414,0.09695766660229987
-8.075545741324921e-05,12.00767184061186,0.1117891102023259
